,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,BFPG,SPG,IP,ERA,ERARecip,WHIP,WHIPRecip,ERA_Scaled,WHIP_Scaled,SO_Scaled,SV_Scaled,W_Scaled,Penalty,StarterStars,RelieverStars,StarRating
3715,scherma01,2016,WAS,Max,Scherzer,210,75,R,NL,20.0,7.0,34.0,34.0,1.0,0.0,0.0,685.0,165.0,75.0,31.0,56.0,284.0,2.0,2.0,6,1.0,902.0,0.0,77.0,7.0,3.0,6.0,26.52,1.0,228.33,2.956247536460386,0.33826666666666666,0.9678973415670301,1.0331674208144797,0.03203413729128015,0.09196632109513718,1.0,0.0,0.9090909090909091,1.0,2.0330913674773265,1.0330913674773263,2.0330913674773265
3238,porceri01,2016,BOS,Rick,Porcello,205,77,R,AL,22.0,4.0,33.0,33.0,3.0,0.0,0.0,669.0,193.0,78.0,23.0,32.0,189.0,0.0,3.0,13,0.0,890.0,0.0,85.0,2.0,3.0,16.0,26.96,1.0,223.0,3.1479820627802693,0.3176638176638176,1.0089686098654709,0.991111111111111,0.029970029970029965,0.08770745428973277,0.6654929577464789,0.0,1.0,1.0,1.7831704420062415,1.1176774842597628,1.7831704420062415
4171,verlaju01,2016,DET,Justin,Verlander,225,77,R,AL,16.0,9.0,34.0,34.0,2.0,0.0,0.0,683.0,171.0,77.0,30.0,57.0,254.0,1.0,6.0,8,0.0,903.0,0.0,81.0,4.0,7.0,8.0,26.55,1.0,227.66,3.0440130018448563,0.32851370851370854,1.0014934551524204,0.9985087719298245,0.031057032021781564,0.08845658449922272,0.8943661971830986,0.0,0.7272727272727273,1.0,1.7411525409768303,0.8467863437937315,1.7411525409768303
2159,klubeco01,2016,CLE,Corey,Kluber,215,76,R,AL,18.0,9.0,32.0,32.0,3.0,2.0,0.0,645.0,170.0,75.0,22.0,57.0,227.0,1.0,5.0,7,1.0,860.0,0.0,82.0,6.0,2.0,17.0,26.87,1.0,215.0,3.13953488372093,0.31851851851851853,1.0558139534883721,0.9471365638766519,0.030055658627087204,0.08325433558244576,0.7992957746478874,0.0,0.8181818181818182,1.0,1.7307875870392384,0.9314918123913511,1.7307875870392384
1260,fernajo02,2016,MIA,Jose,Fernandez,240,75,R,NL,16.0,8.0,29.0,29.0,0.0,0.0,0.0,547.0,149.0,58.0,13.0,55.0,253.0,6.0,9.0,6,1.0,737.0,0.0,63.0,7.0,5.0,14.0,25.41,1.0,182.33,2.8629408215872316,0.34929118773946366,1.1188504360225964,0.8937745098039216,0.03313863476425054,0.0778505832712832,0.8908450704225352,0.0,0.7272727272727273,1.0,1.7291070157307964,0.838261945308261,1.7291070157307964
3636,salech01,2016,CHA,Chris,Sale,180,78,L,AL,17.0,10.0,32.0,32.0,6.0,1.0,0.0,680.0,190.0,84.0,27.0,45.0,233.0,2.0,2.0,17,0.0,907.0,0.0,88.0,5.0,3.0,16.0,28.34,1.0,226.66,3.3353922174181596,0.2998148148148148,1.0367951998588194,0.9645106382978723,0.02818181818181818,0.08501373552383518,0.8204225352112676,0.0,0.7727272727272727,1.0,1.7063453616441937,0.8859228264329261,1.7063453616441937
501,bumgama01,2016,SFN,Madison,Bumgarner,250,77,R,NL,15.0,9.0,34.0,34.0,4.0,1.0,0.0,680.0,179.0,69.0,26.0,54.0,251.0,0.0,4.0,8,1.0,912.0,0.0,79.0,3.0,6.0,15.0,26.82,1.0,226.66,2.7397864643077736,0.3649919484702094,1.0279714109238507,0.9727896995708155,0.034711623779946764,0.08585212147552562,0.8838028169014085,0.0,0.6818181818181818,1.0,1.6861847439750628,0.8023819270736542,1.6861847439750628
2293,lestejo01,2016,CHN,Jon,Lester,240,76,L,NL,19.0,5.0,32.0,32.0,2.0,0.0,0.0,608.0,154.0,55.0,21.0,52.0,197.0,0.0,4.0,6,0.0,796.0,0.0,57.0,4.0,4.0,15.0,24.87,1.0,202.66,2.442514556399882,0.4094141414141414,1.0164808052896477,0.9837864077669903,0.03916208466857817,0.08696571217893573,0.6936619718309859,0.0,0.8636363636363636,1.0,1.6834261323148634,0.9897641604838776,1.6834261323148634
3253,priceda01,2016,BOS,David,Price,215,77,L,AL,17.0,9.0,35.0,35.0,2.0,0.0,0.0,690.0,227.0,102.0,30.0,50.0,228.0,1.0,4.0,7,0.0,951.0,0.0,106.0,8.0,7.0,19.0,27.17,1.0,230.0,3.991304347826087,0.25054466230936817,1.2043478260869565,0.8303249097472925,0.023245661901124086,0.07142530731618152,0.8028169014084507,0.0,0.7727272727272727,1.0,1.670215143353029,0.8673982419445783,1.670215143353029
910,cuetojo01,2016,SFN,Johnny,Cueto,220,71,R,NL,18.0,5.0,32.0,32.0,5.0,2.0,0.0,659.0,195.0,68.0,15.0,45.0,198.0,1.0,3.0,8,1.0,881.0,0.0,71.0,7.0,3.0,13.0,27.53,1.0,219.66,2.786124009833379,0.35892156862745095,1.0925976509150506,0.91525,0.034103459565644444,0.0800253164556962,0.6971830985915493,0.0,0.8181818181818182,1.0,1.6294936927947081,0.9323105942031589,1.6294936927947081
125,arrieja01,2016,CHN,Jake,Arrieta,225,76,R,NL,18.0,8.0,31.0,31.0,1.0,1.0,0.0,592.0,138.0,68.0,16.0,76.0,190.0,1.0,16.0,6,0.0,795.0,0.0,72.0,2.0,1.0,17.0,25.64,1.0,197.33,3.101403739928039,0.32243464052287585,1.0844777783408504,0.9221028037383178,0.030447997380770496,0.08071927126463978,0.6690140845070423,0.0,0.8181818181818182,1.0,1.5983631713342707,0.9293490868272285,1.5983631713342707
1699,happja01,2016,TOR,J. A.,Happ,205,77,L,AL,20.0,4.0,32.0,32.0,0.0,0.0,0.0,585.0,168.0,69.0,22.0,60.0,163.0,0.0,3.0,6,2.0,796.0,0.0,72.0,2.0,2.0,21.0,24.87,1.0,195.0,3.1846153846153844,0.3140096618357488,1.1692307692307693,0.8552631578947368,0.029603936436234574,0.07395069953364423,0.573943661971831,0.0,0.9090909090909091,1.0,1.5865892070326189,1.0126455450607879,1.5865892070326189
3958,syndeno01,2016,NYN,Noah,Syndergaard,240,78,L,NL,14.0,9.0,31.0,30.0,0.0,0.0,0.0,551.0,168.0,53.0,11.0,43.0,218.0,2.0,10.0,2,1.0,744.0,0.0,61.0,3.0,4.0,14.0,24.0,0.96,183.66,2.59719046063378,0.3850314465408805,1.1488620276598063,0.8704265402843601,0.03671929149018098,0.07548623192753014,0.7676056338028169,0.0,0.6363636363636364,1.0,1.5161747935841645,0.7485691597813475,1.5161747935841645
1668,hamelco01,2016,TEX,Cole,Hamels,205,76,L,AL,15.0,5.0,32.0,32.0,0.0,0.0,0.0,602.0,185.0,74.0,24.0,77.0,200.0,1.0,4.0,8,1.0,848.0,0.0,83.0,1.0,2.0,19.0,26.5,1.0,200.66,3.319047144423403,0.3012912912912913,1.3056912189773746,0.7658778625954199,0.02832973975831119,0.06489902406029568,0.704225352112676,0.0,0.6818181818181818,1.0,1.4792722977494646,0.7750469456367887,1.4792722977494646
1782,hendrky01,2016,CHN,Kyle,Hendricks,190,75,R,NL,16.0,8.0,31.0,30.0,2.0,1.0,0.0,570.0,142.0,45.0,15.0,44.0,170.0,3.0,5.0,8,0.0,745.0,0.0,53.0,4.0,3.0,12.0,24.03,0.96,190.0,2.1315789473684212,0.4691358024691358,0.9789473684210527,1.021505376344086,0.04514533085961658,0.09078535456648971,0.5985915492957746,0.0,0.7272727272727273,1.0,1.4617949619946082,0.8632034126988336,1.4617949619946082
2446,maedake01,2016,LAN,Kenta,Maeda,175,73,R,NL,16.0,11.0,32.0,32.0,0.0,0.0,0.0,527.0,150.0,68.0,20.0,50.0,179.0,6.0,6.0,8,0.0,716.0,0.0,72.0,0.0,3.0,10.0,22.37,1.0,175.66,3.484003187976773,0.2870261437908497,1.1385631333257429,0.8783,0.02690057841318346,0.07628354430379747,0.6302816901408451,0.0,0.7272727272727273,1.0,1.4607385401305533,0.8304568499897083,1.4607385401305533
2525,martica04,2016,SLN,Carlos,Martinez,190,72,R,NL,16.0,9.0,31.0,31.0,0.0,0.0,0.0,586.0,169.0,66.0,15.0,70.0,174.0,1.0,8.0,11,0.0,809.0,0.0,68.0,2.0,2.0,33.0,26.09,1.0,195.33,3.041007525725695,0.3288383838383838,1.2235703680950185,0.8172803347280336,0.031089559790858496,0.07010433769397809,0.6126760563380281,0.0,0.7272727272727273,1.0,1.441142681095592,0.8284666247575638,1.441142681095592
3427,roarkta01,2016,WAS,Tanner,Roark,235,74,R,NL,16.0,10.0,34.0,33.0,0.0,0.0,0.0,630.0,173.0,66.0,17.0,73.0,172.0,4.0,6.0,13,1.0,855.0,0.0,72.0,10.0,1.0,28.0,25.14,0.97,210.0,2.8285714285714287,0.35353535353535354,1.1714285714285715,0.8536585365853658,0.03356383875864395,0.07378820623649274,0.6056338028169014,0.0,0.7272727272727273,1.0,1.4402585750847654,0.834624772267864,1.4402585750847654
3906,strasst01,2016,WAS,Stephen,Strasburg,235,76,R,NL,15.0,4.0,24.0,24.0,0.0,0.0,0.0,443.0,119.0,59.0,15.0,44.0,183.0,1.0,2.0,2,0.0,598.0,0.0,59.0,5.0,1.0,7.0,24.91,1.0,147.66,3.596099146688338,0.27807909604519776,1.1038873086821075,0.9058895705521472,0.02600421370397158,0.07907742486604023,0.6443661971830986,0.0,0.6818181818181818,1.0,1.4312660175712923,0.7868998203881936,1.4312660175712923
3651,sanchaa01,2016,TOR,Aaron,Sanchez,220,76,R,AL,15.0,2.0,30.0,30.0,0.0,0.0,0.0,576.0,161.0,64.0,15.0,63.0,161.0,0.0,5.0,5,0.0,790.0,0.0,69.0,1.0,2.0,14.0,26.33,1.0,192.0,3.0,0.3333333333333333,1.1666666666666667,0.8571428571428571,0.03153988868274582,0.07414104882459312,0.5669014084507042,0.0,0.6818181818181818,1.0,1.354400527776225,0.7874991193255207,1.354400527776225
2121,kershcl01,2016,LAN,Clayton,Kershaw,225,76,L,NL,12.0,4.0,21.0,21.0,3.0,3.0,0.0,447.0,97.0,28.0,8.0,11.0,172.0,1.0,5.0,2,3.0,544.0,0.0,31.0,4.0,1.0,9.0,25.9,1.0,149.0,1.691275167785235,0.5912698412698413,0.7248322147651006,1.3796296296296298,0.057381394116088,0.12705110173464604,0.6056338028169014,0.0,0.5454545454545454,1.0,1.3355208441221809,0.7298870413052795,1.3355208441221809
3289,quintjo01,2016,CHA,Jose,Quintana,220,73,R,AL,13.0,12.0,32.0,32.0,0.0,0.0,0.0,624.0,192.0,74.0,22.0,50.0,181.0,1.0,10.0,4,1.0,837.0,0.0,76.0,2.0,2.0,18.0,26.15,1.0,208.0,3.201923076923077,0.31231231231231227,1.1634615384615385,0.8595041322314049,0.029433886576743718,0.07438016528925619,0.6373239436619719,0.0,0.5909090909090909,1.0,1.3320470864370626,0.6947231427750908,1.3320470864370626
1958,iwakuhi01,2016,SEA,Hisashi,Iwakuma,210,75,R,AL,16.0,12.0,33.0,33.0,0.0,0.0,0.0,597.0,218.0,91.0,28.0,46.0,147.0,3.0,4.0,5,0.0,836.0,0.0,95.0,6.0,7.0,25.0,25.33,1.0,199.0,4.115577889447236,0.242979242979243,1.3266331658291457,0.7537878787878788,0.02248771636526739,0.06367472190257001,0.5176056338028169,0.0,0.7272727272727273,1.0,1.3310407993433815,0.8134351655405647,1.3310407993433815
3969,tanakma01,2016,NYA,Masahiro,Tanaka,215,75,R,AL,14.0,4.0,31.0,31.0,0.0,0.0,0.0,599.0,179.0,68.0,22.0,36.0,165.0,0.0,7.0,3,0.0,805.0,0.0,75.0,4.0,3.0,10.0,25.96,1.0,199.66,3.065210858459381,0.3262418300653595,1.076830612040469,0.9286511627906976,0.030829422678162174,0.08138239623196937,0.5809859154929577,0.0,0.6363636363636364,1.0,1.3295613707667258,0.7485754552737679,1.3295613707667258
111,archech01,2016,TBA,Chris,Archer,190,75,R,AL,9.0,19.0,33.0,33.0,0.0,0.0,0.0,604.0,183.0,90.0,30.0,67.0,233.0,0.0,11.0,3,0.0,850.0,0.0,100.0,6.0,4.0,12.0,25.75,1.0,201.33,4.023245417970496,0.24855555555555559,1.2417424129538568,0.80532,0.023046382189239337,0.06889316455696202,0.8204225352112676,0.0,0.4090909090909091,1.0,1.321452991048378,0.5010304558371105,1.321452991048378
4043,tillmch01,2016,BAL,Chris,Tillman,200,77,R,AL,16.0,6.0,30.0,30.0,0.0,0.0,0.0,516.0,155.0,72.0,19.0,66.0,140.0,1.0,9.0,7,0.0,715.0,0.0,73.0,2.0,4.0,20.0,23.83,1.0,172.0,3.7674418604651163,0.2654320987654321,1.2848837209302326,0.7782805429864253,0.024737167594310456,0.06615499169482789,0.49295774647887325,0.0,0.7272727272727273,1.0,1.3111226330407388,0.8181648865618656,1.3111226330407388
1117,duffyda01,2016,KCA,Danny,Duffy,205,75,L,AL,12.0,3.0,42.0,26.0,1.0,0.0,0.0,539.0,163.0,70.0,27.0,42.0,188.0,0.0,4.0,7,0.0,731.0,5.0,71.0,4.0,2.0,13.0,17.4,0.61,179.66,3.506623622397863,0.28517460317460314,1.1410441945897807,0.876390243902439,0.02671508083752981,0.07609015128125965,0.6619718309859155,0.0,0.5454545454545454,1.0,1.3102316085592505,0.6482597775733349,1.3102316085592505
3900,straida01,2016,CIN,Dan,Straily,220,74,R,NL,14.0,8.0,34.0,31.0,0.0,0.0,0.0,574.0,154.0,80.0,31.0,73.0,162.0,4.0,3.0,11,1.0,792.0,0.0,80.0,6.0,3.0,10.0,23.29,0.91,191.33,3.7631317618773843,0.2657361111111111,1.1864318193696755,0.842863436123348,0.024767625231910947,0.07269503150616183,0.5704225352112676,0.0,0.6363636363636364,1.0,1.3042488283129767,0.7338262931017091,1.3042488283129767
2650,mchugco01,2016,HOU,Collin,McHugh,190,74,R,AL,13.0,10.0,33.0,33.0,1.0,0.0,0.0,554.0,206.0,89.0,25.0,54.0,177.0,1.0,9.0,5,0.0,796.0,0.0,92.0,1.0,5.0,15.0,24.12,1.0,184.66,4.33770172208383,0.23053682896379524,1.4079930683418174,0.7102307692307692,0.02124116653811678,0.05926387536514119,0.6232394366197183,0.0,0.5909090909090909,1.0,1.294653569432067,0.6714141328123489,1.294653569432067
1675,hammeja01,2016,CHN,Jason,Hammel,225,78,R,NL,15.0,10.0,30.0,30.0,0.0,0.0,0.0,500.0,148.0,71.0,25.0,53.0,144.0,0.0,9.0,9,0.0,692.0,0.0,77.0,7.0,3.0,14.0,23.06,1.0,166.66,3.8341533661346454,0.2608137715179969,1.2060482419296772,0.8291542288557214,0.024274478037053494,0.07130675735247811,0.5070422535211268,0.0,0.6818181818181818,1.0,1.2844416707288402,0.7773994172077134,1.2844416707288402
2200,lackejo01,2016,CHN,John,Lackey,235,78,R,NL,11.0,8.0,29.0,29.0,0.0,0.0,0.0,565.0,146.0,70.0,23.0,53.0,180.0,1.0,4.0,9,0.0,748.0,0.0,74.0,8.0,8.0,13.0,25.79,1.0,188.33,3.345191950300005,0.29893650793650794,1.0566558700153985,0.9463819095477387,0.02809382454280414,0.08317791489091025,0.6338028169014085,0.0,0.5,1.0,1.2450745563351229,0.6112717394337144,1.2450745563351229
2112,kenneia01,2016,KCA,Ian,Kennedy,200,72,R,AL,11.0,11.0,33.0,33.0,0.0,0.0,0.0,587.0,173.0,80.0,33.0,66.0,184.0,1.0,4.0,13,0.0,818.0,0.0,81.0,1.0,5.0,9.0,24.78,1.0,195.66,3.6798528058877644,0.27175,1.221506695287744,0.8186610878661088,0.02537012987012987,0.07024416079656798,0.647887323943662,0.0,0.5,1.0,1.24350161461036,0.5956142906666979,1.24350161461036
4233,wainwad01,2016,SLN,Adam,Wainwright,235,79,R,NL,13.0,9.0,33.0,33.0,1.0,1.0,0.0,596.0,220.0,102.0,22.0,59.0,161.0,4.0,1.0,5,0.0,847.0,0.0,108.0,8.0,9.0,27.0,25.66,1.0,198.66,4.620960434913924,0.21640522875816992,1.4044095439444277,0.7120430107526882,0.01982538469933428,0.0594473934939431,0.5669014084507042,0.0,0.5909090909090909,1.0,1.2370832775530727,0.6701818691023683,1.2370832775530727
